,DRA-1_profit,DRA-2_profit,DRA-3_profit,ILP_profit
0,23.0,23.0,28.0,28.0
1,27.0,27.0,27.0,27.0
2,42.0,42.0,42.0,42.0
3,30.0,35.0,30.0,35.0
4,28.0,28.0,28.0,28.0
5,24.0,24.0,24.0,24.0
6,27.0,18.0,27.0,27.0
7,23.0,23.0,17.0,23.000000400200438
8,28.0,28.0,28.0,28.0
9,32.0,32.0,32.0,32.0
10,31.0,31.0,31.0,31.0
11,41.0,41.0,41.0,41.0
12,21.0,21.0,21.0,21.0
13,32.0,32.0,32.0,32.0
14,24.0,24.0,22.0,24.000000000031214
15,36.0,36.0,36.0,36.0
16,23.0,23.0,23.0,23.000000000000004
17,28.0,28.0,28.0,28.0
18,28.0,28.0,28.0,36.0
19,38.0,38.0,38.0,38.0
20,24.0,31.0,31.0,31.0
21,35.0,35.0,30.0,35.0
22,26.0,26.0,26.0,26.0
23,31.0,31.0,31.0,31.0
24,30.0,30.0,30.0,30.0
25,42.0,42.0,35.0,42.0
26,31.0,37.0,31.0,37.0
27,27.0,27.0,27.0,27.0
28,29.0,34.0,34.0,34.0
29,29.0,29.0,29.0,29.0
30,31.0,31.0,31.0,31.0
31,32.0,32.0,32.0,32.0
32,31.0,31.0,31.0,31.0
33,26.0,26.0,26.0,26.0
34,34.0,34.0,34.0,34.0
35,27.0,27.0,27.0,27.0
36,36.0,36.0,36.0,36.0
37,34.0,34.0,34.0,34.0
38,34.0,34.0,27.0,34.0
39,23.0,23.0,23.0,23.0
40,34.0,34.0,34.0,34.0
41,34.0,34.0,34.0,34.0
42,27.0,21.0,27.0,27.0
43,25.0,30.0,30.0,30.0
44,32.0,32.0,27.0,32.0
45,28.0,28.0,28.0,28.0
46,30.0,30.0,30.0,39.0
47,27.0,27.0,27.0,27.0
48,18.0,18.0,18.0,18.0
49,26.0,26.0,26.0,26.0
50,20.0,20.0,20.0,20.0
51,26.0,26.0,26.0,26.0
52,35.0,35.0,35.0,35.0
53,21.0,21.0,21.0,21.0
54,33.0,26.0,33.0,33.0
55,28.0,28.0,28.0,33.0
56,16.0,21.0,16.0,21.0
57,24.0,24.0,24.0,29.0
58,31.0,31.0,31.0,31.0
59,25.0,25.0,25.0,25.0
60,38.0,31.0,38.0,38.0
61,23.0,23.0,18.0,23.0
62,29.0,29.0,29.0,29.0
63,31.0,25.0,25.0,31.0
64,26.0,26.0,26.0,26.0
65,36.0,36.0,36.0,36.0
66,22.0,22.0,22.0,22.0
67,20.0,27.0,20.0,27.0
68,31.0,31.0,31.0,31.0
69,33.0,33.0,33.0,33.0
70,40.0,40.0,40.0,40.0
71,38.0,38.0,38.0,38.0
72,28.0,28.0,28.0,28.0
73,29.0,24.0,29.0,29.0
74,19.0,15.0,15.0,19.0
75,31.0,31.0,26.0,31.0
76,39.0,39.0,39.0,39.0
77,39.0,39.0,39.0,39.0
78,30.0,30.0,30.0,30.0
79,23.0,23.0,23.0,23.0
80,22.0,17.0,17.0,21.99999999996047
81,26.0,26.0,26.0,26.0
82,28.0,28.0,28.0,28.0
83,35.0,35.0,35.0,35.0
84,27.0,27.0,18.0,27.0
85,37.0,37.0,37.0,37.0
86,29.0,29.0,29.0,29.000000000000004
87,28.0,20.0,28.0,34.0
88,29.0,23.0,23.0,29.00000000000092
89,22.0,22.0,22.0,22.0
90,19.0,19.0,19.0,29.00000101691527
91,41.0,41.0,35.0,41.0
92,26.0,26.0,26.0,31.0
93,18.0,18.0,19.0,19.0
94,30.0,30.0,30.0,30.0
95,28.0,28.0,28.0,28.0
96,29.0,29.0,29.0,29.0
97,35.0,35.0,35.0,35.0
98,37.0,37.0,37.0,37.0
99,40.0,40.0,40.0,40.0
